S/N,EMPLOYER CODE,OLD EMPLOYER CODE,REGISTRATION,NAME,SECTOR
1,MPAFS07ACC01, ,MPAFS07,ACCOMMODATION,Accommodation  
2,PR0000048647, ,1067879,CERAMOCLEAN NIGERIA LIMITED,Accommodation  
3,PR0000033495, ,857987,HOTEL SAMARITAN LTD ,Accommodation  
4,PR0000066753, ,1851371,HQC COMPANY NIGERIA LTD,Accommodation  
5,PR0000050673, ,1170121,JADE FAITH CONSTRUCTION INTERNATIONAL LIMITED,Accommodation  
6,PR0000066919, ,1893502,SHINA HOMES LIMITED,Accommodation  
7,BR0000056335, ,2166472,STEPHEN OLOGUN AND ASSOCIATES,Accommodation  
8,PR0000038104, ,1616416,TILOC NIGERIA LIMITED,Accommodation  
9,MPFIN14AUX01, ,MPFIN14,ACTIVITIES AUXILIARY TO INSURANCE AND PENSION FUNDING,Activities Auxiliary to Insurance and Pension Funding
10,PR0000060714, ,992548,ADVOCATE INSURANCE BROKERS LTD,Activities Auxiliary to Insurance and Pension Funding
11,PR0000066754, ,1851464,AJAP FINANCIAL SERVICES LIMITED,Activities Auxiliary to Insurance and Pension Funding
12,PR0000061062, ,1785721,AMKO CAPITAL LTD,Activities Auxiliary to Insurance and Pension Funding
13,PR0000075449, ,1769301,ANAM INSURANCE BROKERS LIMITED,Activities Auxiliary to Insurance and Pension Funding
14,PR0000047160, ,1714964,BLAISE MORGAN CAPITAL LTD,Activities Auxiliary to Insurance and Pension Funding
15,PR0000067626, ,1359711,CASAVA MICROINSURANCE LIMITED,Activities Auxiliary to Insurance and Pension Funding
16,PR0000067528, ,1596638,CREDITSTAR MICROINSURANCE COMPANY LIMITED ,Activities Auxiliary to Insurance and Pension Funding
17,PR0000063918, ,974144,FIRST CHOICE INSURANCE BROKERS LIMITED,Activities Auxiliary to Insurance and Pension Funding
18,PR0000046615, ,1677560,GREENFIELD FINANCE LTD,Activities Auxiliary to Insurance and Pension Funding
19,PR0000074831, ,1048254,HEDGEROW OIL & GAS LTD,Activities Auxiliary to Insurance and Pension Funding
20,PR0000048221, ,1652830,JOVESTAR INSURANCE BROKERS LIMITED,Activities Auxiliary to Insurance and Pension Funding
21,PR0000062690, ,1372169,MANHILL GLOBAL INSURANCE BROKERS LTD,Activities Auxiliary to Insurance and Pension Funding
22,PR0000065326, ,994881,MULTILINE INSURANCE BROKERS LIMITED,Activities Auxiliary to Insurance and Pension Funding
23,PR0000044591, ,1593349,OGI CAPITAL LIMITED,Activities Auxiliary to Insurance and Pension Funding
24,PR0000044810, ,1675162,ONE17 CAPITAL LIMITED,Activities Auxiliary to Insurance and Pension Funding
25,PR0000058760, ,1666866,PAGES INSURANCE BROKERS LTD,Activities Auxiliary to Insurance and Pension Funding
26,PR0000036080, ,1505508,PLATOON INSURANCE BROKERS LTD,Activities Auxiliary to Insurance and Pension Funding
27,PR0000064119, ,1544062,PROSPERIS FINANCE LIMITED,Activities Auxiliary to Insurance and Pension Funding
28,PR0000038006, ,654251,RISK HEDGE INSURANCE BROKERS LIMITED,Activities Auxiliary to Insurance and Pension Funding
29,PR0000060370, ,689763,TRIPLEBIS INSURANCE BROKERS LIMITED,Activities Auxiliary to Insurance and Pension Funding
30,PR0000031158, ,1616910,WATCHTOWER MANAGEMENT LTD,Activities Auxiliary to Insurance and Pension Funding
31,PR0000042567, ,1638842,ACCRET EXPERIENCE AGENCY LIMITED,Advertising and Marketting Research
32,PR0000036635, ,995425,ADEPTUS ADVERTISING LIMITED,Advertising and Marketting Research
33,MPPST11AMR03, ,MPPST11,ADVERTISING AND MARKETTING RESEARCH,Advertising and Marketting Research
34,PR0000055200, ,870697,AFONOD RESOURCES LTD,Advertising and Marketting Research
35,PR0000049914, ,1609252,AMBET GLOBAL RESOURCES LTD,Advertising and Marketting Research
36,PR0000055980, ,1740465,BENTLEY AND REWARDS SERVICES LIMITED,Advertising and Marketting Research
37,PR0000040948, ,1126615,BIGLEAD GLOBAL NIG LTD,Advertising and Marketting Research
38,PR0000067523, ,1856288,BRADITAL LIMITED,Advertising and Marketting Research
39,PR0000051124, ,1609890,CORPORATE STUDIOS LIMITED,Advertising and Marketting Research
40,BR0000066144, ,3299233,COURIER.NG,Advertising and Marketting Research
41,PR0000044242, ,861784,CUSTOMER PASSION POINTS LIMITED,Advertising and Marketting Research
42,PR0000056997, ,1825466,DABO ASSOCIATES NIG LTD,Advertising and Marketting Research
43,BR0000068106, ,2639229,DEO MEDIA VENTURES,Advertising and Marketting Research
44,PR0000053374, ,1682658,DERDA LOGISTICS LIMITED,Advertising and Marketting Research
45,PR0000067002, ,1537549,DOTTSMEDIAHOUSE LIMITED,Advertising and Marketting Research
46,PR0000055976, ,1788895,EDORD VENTURES NIGERIA LIMITED,Advertising and Marketting Research
47,PR0000040000, ,1657805,ENDS CORPORATE LIMITED,Advertising and Marketting Research
